"Values","Freq","category","state"
"Not Available",0.333333333333333,"Overall_rating","AR"
"Above the national average",0,"Mortality","AR"
"Below the national average",0.0666666666666667,"Mortality","AR"
"Not Available",0.333333333333333,"Mortality","AR"
"Same as the national average",0.6,"Mortality","AR"
"Above the national average",0.0666666666666667,"Safety_of_care","AR"
"Below the national average",0,"Safety_of_care","AR"
"Not Available",0.933333333333333,"Safety_of_care","AR"
"Same as the national average",0,"Safety_of_care","AR"
"Above the national average",0.0666666666666667,"Readmission","AR"
"Below the national average",0.333333333333333,"Readmission","AR"
"Not Available",0.133333333333333,"Readmission","AR"
"Same as the national average",0.466666666666667,"Readmission","AR"
"Above the national average",0.133333333333333,"Patient_experience","AR"
"Below the national average",0.0666666666666667,"Patient_experience","AR"
"Not Available",0.533333333333333,"Patient_experience","AR"
"Same as the national average",0.266666666666667,"Patient_experience","AR"
"Above the national average",0,"Effectiveness_of_Care","AR"
"Below the national average",0.0666666666666667,"Effectiveness_of_Care","AR"
"Not Available",0.333333333333333,"Effectiveness_of_Care","AR"
"Same as the national average",0.6,"Effectiveness_of_Care","AR"
"Above the national average",0.466666666666667,"Timeliness_of_Care","AR"
"Below the national average",0,"Timeliness_of_Care","AR"
"Not Available",0.333333333333333,"Timeliness_of_Care","AR"
"Same as the national average",0.2,"Timeliness_of_Care","AR"
"Above the national average",0,"Medical_imaging","AR"
"Below the national average",0.0666666666666667,"Medical_imaging","AR"
"Not Available",0.533333333333333,"Medical_imaging","AR"
"Same as the national average",0.4,"Medical_imaging","AR"
"Acute Care Hospitals",1,"Type","AS"
"Childrens",0,"Type","AS"
"Critical Access Hospitals",0,"Type","AS"
"Government - Federal",0,"Ownership","AS"
"Government - Hospital District or Authority",1,"Ownership","AS"
"Government - Local",0,"Ownership","AS"
"Government - State",0,"Ownership","AS"
"Physician",0,"Ownership","AS"
"Proprietary",0,"Ownership","AS"
"Tribal",0,"Ownership","AS"
"Voluntary non-profit - Church",0,"Ownership","AS"
"Voluntary non-profit - Other",0,"Ownership","AS"
"Voluntary non-profit - Private",0,"Ownership","AS"
"1",0,"Overall_rating","AS"
"2",0,"Overall_rating","AS"
"3",0,"Overall_rating","AS"
"4",0,"Overall_rating","AS"
"5",0,"Overall_rating","AS"
"Not Available",1,"Overall_rating","AS"
"Above the national average",0,"Mortality","AS"
"Below the national average",0,"Mortality","AS"
"Not Available",1,"Mortality","AS"
"Same as the national average",0,"Mortality","AS"
"Above the national average",0,"Safety_of_care","AS"
"Below the national average",0,"Safety_of_care","AS"
"Not Available",1,"Safety_of_care","AS"
"Same as the national average",0,"Safety_of_care","AS"
"Above the national average",0,"Readmission","AS"
"Below the national average",0,"Readmission","AS"
"Not Available",1,"Readmission","AS"
"Same as the national average",0,"Readmission","AS"
"Above the national average",0,"Patient_experience","AS"
"Below the national average",0,"Patient_experience","AS"
"Not Available",1,"Patient_experience","AS"
"Same as the national average",0,"Patient_experience","AS"
"Above the national average",0,"Effectiveness_of_Care","AS"
"Below the national average",0,"Effectiveness_of_Care","AS"
"Not Available",1,"Effectiveness_of_Care","AS"
"Same as the national average",0,"Effectiveness_of_Care","AS"
"Above the national average",0,"Timeliness_of_Care","AS"
"Below the national average",0,"Timeliness_of_Care","AS"
"Not Available",1,"Timeliness_of_Care","AS"
"Same as the national average",0,"Timeliness_of_Care","AS"
"Above the national average",0,"Medical_imaging","AS"
"Below the national average",0,"Medical_imaging","AS"
"Not Available",1,"Medical_imaging","AS"
"Same as the national average",0,"Medical_imaging","AS"
"Acute Care Hospitals",0.5625,"Type","AZ"
"Childrens",0,"Type","AZ"
"Critical Access Hospitals",0.4375,"Type","AZ"
"Government - Federal",0.1875,"Ownership","AZ"
"Government - Hospital District or Authority",0.125,"Ownership","AZ"
"Government - Local",0,"Ownership","AZ"
"Government - State",0,"Ownership","AZ"
"Physician",0,"Ownership","AZ"
"Proprietary",0.375,"Ownership","AZ"
"Tribal",0.0625,"Ownership","AZ"
"Voluntary non-profit - Church",0,"Ownership","AZ"
"Voluntary non-profit - Other",0.0625,"Ownership","AZ"
"Voluntary non-profit - Private",0.1875,"Ownership","AZ"
"1",0.0625,"Overall_rating","AZ"
"2",0.3125,"Overall_rating","AZ"
"3",0.0625,"Overall_rating","AZ"
"4",0,"Overall_rating","AZ"
"5",0,"Overall_rating","AZ"
"Not Available",0.5625,"Overall_rating","AZ"
"Above the national average",0,"Mortality","AZ"
"Below the national average",0,"Mortality","AZ"
"Not Available",0.75,"Mortality","AZ"
"Same as the national average",0.25,"Mortality","AZ"
"Above the national average",0.0625,"Safety_of_care","AZ"
"Below the national average",0.0625,"Safety_of_care","AZ"
"Not Available",0.75,"Safety_of_care","AZ"
"Same as the national average",0.125,"Safety_of_care","AZ"
"Above the national average",0,"Readmission","AZ"
"Below the national average",0.25,"Readmission","AZ"
"Not Available",0.5,"Readmission","AZ"
"Same as the national average",0.25,"Readmission","AZ"
"Above the national average",0.0625,"Patient_experience","AZ"
"Below the national average",0.375,"Patient_experience","AZ"
"Not Available",0.375,"Patient_experience","AZ"
"Same as the national average",0.1875,"Patient_experience","AZ"
"Above the national average",0,"Effectiveness_of_Care","AZ"
"Below the national average",0,"Effectiveness_of_Care","AZ"
"Not Available",0.3125,"Effectiveness_of_Care","AZ"
"Same as the national average",0.6875,"Effectiveness_of_Care","AZ"
"Above the national average",0,"Timeliness_of_Care","AZ"
"Below the national average",0.1875,"Timeliness_of_Care","AZ"
"Not Available",0.5,"Timeliness_of_Care","AZ"
"Same as the national average",0.3125,"Timeliness_of_Care","AZ"
"Above the national average",0,"Medical_imaging","AZ"
"Below the national average",0,"Medical_imaging","AZ"
"Not Available",0.875,"Medical_imaging","AZ"
"Same as the national average",0.125,"Medical_imaging","AZ"
"Acute Care Hospitals",0.8,"Type","CA"
"Childrens",0.0307692307692308,"Type","CA"
"Critical Access Hospitals",0.169230769230769,"Type","CA"
"Government - Federal",0,"Ownership","CA"
"Government - Hospital District or Authority",0.2,"Ownership","CA"
"Government - Local",0.0461538461538462,"Ownership","CA"
"Government - State",0.0153846153846154,"Ownership","CA"
"Physician",0.0307692307692308,"Ownership","CA"
"Proprietary",0.2,"Ownership","CA"
"Tribal",0,"Ownership","CA"
"Voluntary non-profit - Church",0.0307692307692308,"Ownership","CA"
"Voluntary non-profit - Other",0.2,"Ownership","CA"
"Voluntary non-profit - Private",0.276923076923077,"Ownership","CA"
"1",0.0615384615384615,"Overall_rating","CA"
"2",0.2,"Overall_rating","CA"
"3",0.292307692307692,"Overall_rating","CA"
"4",0.169230769230769,"Overall_rating","CA"
"5",0.0615384615384615,"Overall_rating","CA"
"Not Available",0.215384615384615,"Overall_rating","CA"
"Above the national average",0.138461538461538,"Mortality","CA"
"Below the national average",0,"Mortality","CA"
"Not Available",0.430769230769231,"Mortality","CA"
"Same as the national average",0.430769230769231,"Mortality","CA"
"Above the national average",0.323076923076923,"Safety_of_care","CA"
"Below the national average",0.138461538461538,"Safety_of_care","CA"
"Not Available",0.307692307692308,"Safety_of_care","CA"
"Same as the national average",0.230769230769231,"Safety_of_care","CA"
"Above the national average",0.246153846153846,"Readmission","CA"
"Below the national average",0.292307692307692,"Readmission","CA"
"Not Available",0.323076923076923,"Readmission","CA"
"Same as the national average",0.138461538461538,"Readmission","CA"
"Above the national average",0.123076923076923,"Patient_experience","CA"
"Below the national average",0.446153846153846,"Patient_experience","CA"
"Not Available",0.169230769230769,"Patient_experience","CA"
"Same as the national average",0.261538461538462,"Patient_experience","CA"
"Above the national average",0,"Effectiveness_of_Care","CA"
"Below the national average",0.123076923076923,"Effectiveness_of_Care","CA"
"Not Available",0.230769230769231,"Effectiveness_of_Care","CA"
"Same as the national average",0.646153846153846,"Effectiveness_of_Care","CA"
"Above the national average",0.0615384615384615,"Timeliness_of_Care","CA"
"Below the national average",0.292307692307692,"Timeliness_of_Care","CA"
"Not Available",0.461538461538462,"Timeliness_of_Care","CA"
"Same as the national average",0.184615384615385,"Timeliness_of_Care","CA"
"Above the national average",0.0307692307692308,"Medical_imaging","CA"
"Below the national average",0.0615384615384615,"Medical_imaging","CA"
"Not Available",0.769230769230769,"Medical_imaging","CA"
"Same as the national average",0.138461538461538,"Medical_imaging","CA"
"Acute Care Hospitals",0.25,"Type","CO"
"Childrens",0,"Type","CO"
"Critical Access Hospitals",0.75,"Type","CO"
"Government - Federal",0,"Ownership","CO"
"Government - Hospital District or Authority",0.5,"Ownership","CO"
"Government - Local",0.0833333333333333,"Ownership","CO"
"Government - State",0,"Ownership","CO"
"Physician",0,"Ownership","CO"
"Proprietary",0,"Ownership","CO"
"Tribal",0,"Ownership","CO"
"Voluntary non-profit - Church",0,"Ownership","CO"
"Voluntary non-profit - Other",0,"Ownership","CO"
"Voluntary non-profit - Private",0.416666666666667,"Ownership","CO"
"1",0,"Overall_rating","CO"
"2",0,"Overall_rating","CO"
"3",0.25,"Overall_rating","CO"
"4",0.25,"Overall_rating","CO"
"5",0,"Overall_rating","CO"
"Not Available",0.5,"Overall_rating","CO"
"Above the national average",0,"Mortality","CO"
"Below the national average",0.0833333333333333,"Mortality","CO"
"Not Available",0.5,"Mortality","CO"
"Same as the national average",0.416666666666667,"Mortality","CO"
"Above the national average",0.0833333333333333,"Safety_of_care","CO"
"Below the national average",0.0833333333333333,"Safety_of_care","CO"
"Not Available",0.75,"Safety_of_care","CO"
"Same as the national average",0.0833333333333333,"Safety_of_care","CO"
"Above the national average",0.5,"Readmission","CO"
"Below the national average",0,"Readmission","CO"
"Not Available",0.416666666666667,"Readmission","CO"
"Same as the national average",0.0833333333333333,"Readmission","CO"
"Above the national average",0.0833333333333333,"Patient_experience","CO"
"Below the national average",0.0833333333333333,"Patient_experience","CO"
"Not Available",0.583333333333333,"Patient_experience","CO"
"Same as the national average",0.25,"Patient_experience","CO"
"Above the national average",0,"Effectiveness_of_Care","CO"
"Below the national average",0,"Effectiveness_of_Care","CO"
"Not Available",0.5,"Effectiveness_of_Care","CO"
"Same as the national average",0.5,"Effectiveness_of_Care","CO"
"Above the national average",0.25,"Timeliness_of_Care","CO"
"Below the national average",0,"Timeliness_of_Care","CO"
"Not Available",0.583333333333333,"Timeliness_of_Care","CO"
"Same as the national average",0.166666666666667,"Timeliness_of_Care","CO"
"Above the national average",0,"Medical_imaging","CO"
"Below the national average",0.0833333333333333,"Medical_imaging","CO"
"Not Available",0.75,"Medical_imaging","CO"
"Same as the national average",0.166666666666667,"Medical_imaging","CO"
"Acute Care Hospitals",0.75,"Type","CT"
"Childrens",0.25,"Type","CT"
"Critical Access Hospitals",0,"Type","CT"
"Government - Federal",0,"Ownership","CT"
"Government - Hospital District or Authority",0,"Ownership","CT"
"Government - Local",0,"Ownership","CT"
"Government - State",0,"Ownership","CT"
"Physician",0,"Ownership","CT"
"Proprietary",0,"Ownership","CT"
"Tribal",0,"Ownership","CT"
"Voluntary non-profit - Church",0,"Ownership","CT"
"Voluntary non-profit - Other",0,"Ownership","CT"
"Voluntary non-profit - Private",1,"Ownership","CT"
"1",0,"Overall_rating","CT"
"2",0,"Overall_rating","CT"
"3",0.25,"Overall_rating","CT"
"4",0.5,"Overall_rating","CT"
"5",0,"Overall_rating","CT"
"Not Available",0.25,"Overall_rating","CT"
"Above the national average",0,"Mortality","CT"
"Below the national average",0,"Mortality","CT"
"Not Available",0.25,"Mortality","CT"
"Same as the national average",0.75,"Mortality","CT"
"Above the national average",0,"Safety_of_care","CT"
"Below the national average",0,"Safety_of_care","CT"
"Not Available",0.75,"Safety_of_care","CT"
"Same as the national average",0.25,"Safety_of_care","CT"
"Above the national average",0.25,"Readmission","CT"
"Below the national average",0,"Readmission","CT"
"Not Available",0.25,"Readmission","CT"
"Same as the national average",0.5,"Readmission","CT"
"Above the national average",0,"Patient_experience","CT"
"Below the national average",0,"Patient_experience","CT"
"Not Available",0.5,"Patient_experience","CT"
"Same as the national average",0.5,"Patient_experience","CT"
"Above the national average",0,"Effectiveness_of_Care","CT"
"Below the national average",0,"Effectiveness_of_Care","CT"
"Not Available",0.25,"Effectiveness_of_Care","CT"
"Same as the national average",0.75,"Effectiveness_of_Care","CT"
"Above the national average",0,"Timeliness_of_Care","CT"
"Below the national average",0.25,"Timeliness_of_Care","CT"
"Not Available",0.5,"Timeliness_of_Care","CT"
"Same as the national average",0.25,"Timeliness_of_Care","CT"
"Above the national average",0,"Medical_imaging","CT"
"Below the national average",0,"Medical_imaging","CT"
"Not Available",0.75,"Medical_imaging","CT"
"Same as the national average",0.25,"Medical_imaging","CT"
"Acute Care Hospitals",1,"Type","DC"
"Childrens",0,"Type","DC"
"Critical Access Hospitals",0,"Type","DC"
"Government - Federal",0,"Ownership","DC"
"Government - Hospital District or Authority",0,"Ownership","DC"
"Government - Local",0,"Ownership","DC"
"Government - State",0,"Ownership","DC"
"Physician",0,"Ownership","DC"
"Proprietary",0,"Ownership","DC"
"Tribal",0,"Ownership","DC"
"Voluntary non-profit - Church",0,"Ownership","DC"
"Voluntary non-profit - Other",0.5,"Ownership","DC"
"Voluntary non-profit - Private",0.5,"Ownership","DC"
"1",0,"Overall_rating","DC"
"2",1,"Overall_rating","DC"
"3",0,"Overall_rating","DC"
"4",0,"Overall_rating","DC"
"5",0,"Overall_rating","DC"
"Not Available",0,"Overall_rating","DC"
"Above the national average",0.5,"Mortality","DC"
"Below the national average",0,"Mortality","DC"
"Not Available",0,"Mortality","DC"
"Same as the national average",0.5,"Mortality","DC"
"Above the national average",0,"Safety_of_care","DC"
"Below the national average",1,"Safety_of_care","DC"
"Not Available",0,"Safety_of_care","DC"
"Same as the national average",0,"Safety_of_care","DC"
"Above the national average",0,"Readmission","DC"
"Below the national average",1,"Readmission","DC"
"Not Available",0,"Readmission","DC"
"Same as the national average",0,"Readmission","DC"
"Above the national average",0,"Patient_experience","DC"
"Below the national average",1,"Patient_experience","DC"
"Not Available",0,"Patient_experience","DC"
"Same as the national average",0,"Patient_experience","DC"
"Above the national average",0,"Effectiveness_of_Care","DC"
"Below the national average",0.5,"Effectiveness_of_Care","DC"
"Not Available",0,"Effectiveness_of_Care","DC"
"Same as the national average",0.5,"Effectiveness_of_Care","DC"
"Above the national average",0,"Timeliness_of_Care","DC"
"Below the national average",1,"Timeliness_of_Care","DC"
"Not Available",0,"Timeliness_of_Care","DC"
"Same as the national average",0,"Timeliness_of_Care","DC"
"Above the national average",1,"Medical_imaging","DC"
"Below the national average",0,"Medical_imaging","DC"
"Not Available",0,"Medical_imaging","DC"
"Same as the national average",0,"Medical_imaging","DC"
"Acute Care Hospitals",0.695652173913043,"Type","FL"
"Childrens",0.0869565217391304,"Type","FL"
"Critical Access Hospitals",0.217391304347826,"Type","FL"
"Government - Federal",0,"Ownership","FL"
"Government - Hospital District or Authority",0.130434782608696,"Ownership","FL"
"Government - Local",0.0434782608695652,"Ownership","FL"
"Government - State",0,"Ownership","FL"
"Physician",0,"Ownership","FL"
"Proprietary",0.391304347826087,"Ownership","FL"
"Tribal",0,"Ownership","FL"
"Voluntary non-profit - Church",0.0434782608695652,"Ownership","FL"
"Voluntary non-profit - Other",0.0434782608695652,"Ownership","FL"
"Voluntary non-profit - Private",0.347826086956522,"Ownership","FL"
"1",0.0869565217391304,"Overall_rating","FL"
"2",0.347826086956522,"Overall_rating","FL"
"3",0.173913043478261,"Overall_rating","FL"
"4",0.130434782608696,"Overall_rating","FL"
"5",0,"Overall_rating","FL"
"Not Available",0.260869565217391,"Overall_rating","FL"
"Above the national average",0.0434782608695652,"Mortality","FL"
"Below the national average",0.130434782608696,"Mortality","FL"
"Not Available",0.173913043478261,"Mortality","FL"
"Same as the national average",0.652173913043478,"Mortality","FL"
"Above the national average",0.130434782608696,"Safety_of_care","FL"
"Below the national average",0.217391304347826,"Safety_of_care","FL"
"Not Available",0.565217391304348,"Safety_of_care","FL"
"Same as the national average",0.0869565217391304,"Safety_of_care","FL"
"Above the national average",0.173913043478261,"Readmission","FL"
"Below the national average",0.391304347826087,"Readmission","FL"
"Not Available",0.173913043478261,"Readmission","FL"
"Same as the national average",0.260869565217391,"Readmission","FL"
"Above the national average",0.0869565217391304,"Patient_experience","FL"
"Below the national average",0.478260869565217,"Patient_experience","FL"
"Not Available",0.260869565217391,"Patient_experience","FL"
"Same as the national average",0.173913043478261,"Patient_experience","FL"
"Above the national average",0,"Effectiveness_of_Care","FL"
"Below the national average",0,"Effectiveness_of_Care","FL"
"Not Available",0.260869565217391,"Effectiveness_of_Care","FL"
"Same as the national average",0.739130434782609,"Effectiveness_of_Care","FL"
"Above the national average",0.260869565217391,"Timeliness_of_Care","FL"
"Below the national average",0.173913043478261,"Timeliness_of_Care","FL"
"Not Available",0.304347826086957,"Timeliness_of_Care","FL"
"Same as the national average",0.260869565217391,"Timeliness_of_Care","FL"
"Above the national average",0.0869565217391304,"Medical_imaging","FL"
"Below the national average",0,"Medical_imaging","FL"
"Not Available",0.826086956521739,"Medical_imaging","FL"
"Same as the national average",0.0869565217391304,"Medical_imaging","FL"
"Acute Care Hospitals",0.612903225806452,"Type","GA"
"Childrens",0.032258064516129,"Type","GA"
"Critical Access Hospitals",0.354838709677419,"Type","GA"
"Government - Federal",0,"Ownership","GA"
"Government - Hospital District or Authority",0.451612903225806,"Ownership","GA"
"Government - Local",0.032258064516129,"Ownership","GA"
"Government - State",0,"Ownership","GA"
"Physician",0,"Ownership","GA"
"Proprietary",0.129032258064516,"Ownership","GA"
"Tribal",0,"Ownership","GA"
"Voluntary non-profit - Church",0,"Ownership","GA"
"Voluntary non-profit - Other",0.129032258064516,"Ownership","GA"
"Voluntary non-profit - Private",0.258064516129032,"Ownership","GA"
"1",0.032258064516129,"Overall_rating","GA"
"2",0.0645161290322581,"Overall_rating","GA"
"3",0.354838709677419,"Overall_rating","GA"
"4",0.225806451612903,"Overall_rating","GA"
"5",0,"Overall_rating","GA"
"Not Available",0.32258064516129,"Overall_rating","GA"
"Above the national average",0.032258064516129,"Mortality","GA"
"Below the national average",0.032258064516129,"Mortality","GA"
"Not Available",0.419354838709677,"Mortality","GA"
"Same as the national average",0.516129032258065,"Mortality","GA"
"Above the national average",0.0645161290322581,"Safety_of_care","GA"
"Below the national average",0.0967741935483871,"Safety_of_care","GA"
"Not Available",0.806451612903226,"Safety_of_care","GA"
"Same as the national average",0.032258064516129,"Safety_of_care","GA"
"Above the national average",0.161290322580645,"Readmission","GA"
"Below the national average",0.129032258064516,"Readmission","GA"
"Not Available",0.290322580645161,"Readmission","GA"
"Same as the national average",0.419354838709677,"Readmission","GA"
"Above the national average",0.0645161290322581,"Patient_experience","GA"
"Below the national average",0.129032258064516,"Patient_experience","GA"
"Not Available",0.419354838709677,"Patient_experience","GA"
"Same as the national average",0.387096774193548,"Patient_experience","GA"
"Above the national average",0,"Effectiveness_of_Care","GA"
"Below the national average",0.0967741935483871,"Effectiveness_of_Care","GA"
"Not Available",0.225806451612903,"Effectiveness_of_Care","GA"
"Same as the national average",0.67741935483871,"Effectiveness_of_Care","GA"
"Above the national average",0.258064516129032,"Timeliness_of_Care","GA"
"Below the national average",0.129032258064516,"Timeliness_of_Care","GA"
"Not Available",0.193548387096774,"Timeliness_of_Care","GA"
"Same as the national average",0.419354838709677,"Timeliness_of_Care","GA"
"Above the national average",0,"Medical_imaging","GA"
"Below the national average",0.0645161290322581,"Medical_imaging","GA"
"Not Available",0.612903225806452,"Medical_imaging","GA"
"Same as the national average",0.32258064516129,"Medical_imaging","GA"
"Acute Care Hospitals",0.25,"Type","HI"
"Childrens",0,"Type","HI"
"Critical Access Hospitals",0.75,"Type","HI"
"Government - Federal",0,"Ownership","HI"
"Government - Hospital District or Authority",0,"Ownership","HI"
"Government - Local",0,"Ownership","HI"
"Government - State",0.75,"Ownership","HI"
"Physician",0,"Ownership","HI"
"Proprietary",0,"Ownership","HI"
"Tribal",0,"Ownership","HI"
"Voluntary non-profit - Church",0,"Ownership","HI"
"Voluntary non-profit - Other",0,"Ownership","HI"
"Voluntary non-profit - Private",0.25,"Ownership","HI"
"1",0,"Overall_rating","HI"
"2",0,"Overall_rating","HI"
"3",0.25,"Overall_rating","HI"
"4",0.25,"Overall_rating","HI"
"5",0,"Overall_rating","HI"
"Not Available",0.5,"Overall_rating","HI"
"Above the national average",0,"Mortality","HI"
"Below the national average",0,"Mortality","HI"
"Not Available",0.75,"Mortality","HI"
"Same as the national average",0.25,"Mortality","HI"
"Above the national average",0,"Safety_of_care","HI"
"Below the national average",0,"Safety_of_care","HI"
"Not Available",0.75,"Safety_of_care","HI"
"Same as the national average",0.25,"Safety_of_care","HI"
"Above the national average",0,"Readmission","HI"
"Below the national average",0,"Readmission","HI"
"Not Available",0.5,"Readmission","HI"
"Same as the national average",0.5,"Readmission","HI"
"Above the national average",0.25,"Patient_experience","HI"
"Below the national average",0,"Patient_experience","HI"
"Not Available",0.75,"Patient_experience","HI"
"Same as the national average",0,"Patient_experience","HI"
"Above the national average",0,"Effectiveness_of_Care","HI"
"Below the national average",0,"Effectiveness_of_Care","HI"
"Not Available",0.5,"Effectiveness_of_Care","HI"
"Same as the national average",0.5,"Effectiveness_of_Care","HI"
"Above the national average",0.25,"Timeliness_of_Care","HI"
"Below the national average",0,"Timeliness_of_Care","HI"
"Not Available",0.75,"Timeliness_of_Care","HI"
"Same as the national average",0,"Timeliness_of_Care","HI"
"Above the national average",0,"Medical_imaging","HI"
"Below the national average",0,"Medical_imaging","HI"
"Not Available",1,"Medical_imaging","HI"
"Same as the national average",0,"Medical_imaging","HI"
"Acute Care Hospitals",0.153846153846154,"Type","IA"
"Childrens",0,"Type","IA"
"Critical Access Hospitals",0.846153846153846,"Type","IA"
"Government - Federal",0,"Ownership","IA"
"Government - Hospital District or Authority",0,"Ownership","IA"
"Government - Local",0.346153846153846,"Ownership","IA"
"Government - State",0,"Ownership","IA"
"Physician",0,"Ownership","IA"
"Proprietary",0.0384615384615385,"Ownership","IA"
"Tribal",0,"Ownership","IA"
"Voluntary non-profit - Church",0.0384615384615385,"Ownership","IA"
"Voluntary non-profit - Other",0.230769230769231,"Ownership","IA"
"Voluntary non-profit - Private",0.346153846153846,"Ownership","IA"
"1",0,"Overall_rating","IA"
"2",0.0384615384615385,"Overall_rating","IA"
"3",0.307692307692308,"Overall_rating","IA"
