"state","Type","Ownership","Overall_rating","Mortality","Safety_of_care","Readmission","Patient_experience","Effectiveness_of_Care","Timeliness_of_Care","Medical_imaging"
"TX","Critical Access Hospitals","Proprietary","4","Same as the national average","Not Available","Above the national average","Same as the national average","Not Available","Not Available","Not Available"
"WI","Acute Care Hospitals","Voluntary non-profit - Church","4","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"TX","Acute Care Hospitals","Voluntary non-profit - Private","3","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"CA","Acute Care Hospitals","Proprietary","1","Same as the national average","Below the national average","Below the national average","Below the national average","Below the national average","Below the national average","Not Available"
"IL","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"OR","Critical Access Hospitals","Government - Hospital District or Authority","2","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average"
"CO","Acute Care Hospitals","Government - Local","3","Below the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"IL","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"LA","Acute Care Hospitals","Proprietary","3","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"NC","Critical Access Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Above the national average","Above the national average","Not Available","Same as the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","5","Not Available","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"NV","Acute Care Hospitals","Proprietary","1","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"IL","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Not Available","Same as the national average","Above the national average","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","3","Not Available","Not Available","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"WV","Critical Access Hospitals","Proprietary","4","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"MO","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"NV","Acute Care Hospitals","Proprietary","3","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"CA","Acute Care Hospitals","Proprietary","4","Above the national average","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Government - Hospital District or Authority","1","Same as the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"AL","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"NJ","Acute Care Hospitals","Proprietary","2","Same as the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"IL","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"FL","Critical Access Hospitals","Proprietary","2","Same as the national average","Not Available","Below the national average","Same as the national average","Not Available","Not Available","Not Available"
"MI","Critical Access Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"KY","Acute Care Hospitals","Voluntary non-profit - Other","2","Same as the national average","Not Available","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"AR","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"NJ","Acute Care Hospitals","Voluntary non-profit - Private","3","Above the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"IA","Critical Access Hospitals","Voluntary non-profit - Church","4","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"OR","Critical Access Hospitals","Voluntary non-profit - Church","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"IL","Critical Access Hospitals","Proprietary","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"OR","Acute Care Hospitals","Government - Local","5","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"FL","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"LA","Acute Care Hospitals","Proprietary","1","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Not Available"
"SC","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"KS","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"CA","Acute Care Hospitals","Proprietary","2","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"MI","Critical Access Hospitals","Government - Federal","4","Same as the national average","Not Available","Above the national average","Not Available","Same as the national average","Same as the national average","Same as the national average"
"AZ","Acute Care Hospitals","Government - Federal","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available","Not Available"
"WA","Critical Access Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"KY","Critical Access Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Above the national average","Not Available"
"UT","Critical Access Hospitals","Voluntary non-profit - Private","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"ND","Critical Access Hospitals","Voluntary non-profit - Church","4","Same as the national average","Not Available","Above the national average","Above the national average","Not Available","Not Available","Same as the national average"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Below the national average"
"AL","Acute Care Hospitals","Voluntary non-profit - Private","2","Below the national average","Not Available","Below the national average","Same as the national average","Below the national average","Above the national average","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MO","Acute Care Hospitals","Voluntary non-profit - Church","3","Below the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"AK","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"PA","Acute Care Hospitals","Proprietary","2","Same as the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Above the national average","Not Available"
"CT","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available"
"MI","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"NE","Critical Access Hospitals","Voluntary non-profit - Church","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"NE","Acute Care Hospitals","Voluntary non-profit - Private","5","Same as the national average","Not Available","Above the national average","Above the national average","Not Available","Not Available","Not Available"
"IL","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"IN","Critical Access Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Above the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"IA","Critical Access Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"OK","Acute Care Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Above the national average","Not Available"
"PR","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"PA","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"WI","Critical Access Hospitals","Voluntary non-profit - Church","3","Not Available","Not Available","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available"
"CA","Acute Care Hospitals","Voluntary non-profit - Other","3","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Not Available","Not Available"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"LA","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Above the national average","Not Available","Above the national average","Not Available"
"MN","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"NM","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"GA","Acute Care Hospitals","Proprietary","3","Same as the national average","Not Available","Above the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"NE","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"PR","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Physician","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","2","Not Available","Same as the national average","Below the national average","Below the national average","Same as the national average","Above the national average","Not Available"
"TX","Acute Care Hospitals","Government - Hospital District or Authority","4","Not Available","Not Available","Above the national average","Not Available","Same as the national average","Above the national average","Not Available"
"OR","Acute Care Hospitals","Voluntary non-profit - Church","3","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"FL","Acute Care Hospitals","Voluntary non-profit - Church","3","Below the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Not Available","Not Available"
"IN","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"LA","Acute Care Hospitals","Proprietary","5","Not Available","Not Available","Same as the national average","Above the national average","Below the national average","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","3","Above the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Below the national average"
"TX","Acute Care Hospitals","Government - Hospital District or Authority","3","Not Available","Not Available","Above the national average","Not Available","Same as the national average","Above the national average","Not Available"
"AL","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"TX","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Below the national average","Not Available","Same as the national average","Above the national average","Same as the national average"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Not Available","Not Available","Same as the national average","Above the national average","Not Available","Same as the national average","Not Available"
"WI","Acute Care Hospitals","Voluntary non-profit - Church","5","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"MO","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average"
"TX","Acute Care Hospitals","Physician","5","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Not Available","Not Available"
"MO","Acute Care Hospitals","Government - Local","3","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"MS","Critical Access Hospitals","Government - Local","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"LA","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"MI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Below the national average","Above the national average","Not Available"
"AZ","Acute Care Hospitals","Government - Federal","1","Not Available","Not Available","Below the national average","Below the national average","Same as the national average","Not Available","Not Available"
"MI","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"GA","Critical Access Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"WA","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"MN","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"TX","Acute Care Hospitals","Voluntary non-profit - Other","5","Not Available","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"IL","Acute Care Hospitals","Voluntary non-profit - Church","4","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"TX","Acute Care Hospitals","Voluntary non-profit - Private","3","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"OK","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Above the national average","Not Available"
"MT","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TN","Acute Care Hospitals","Government - Hospital District or Authority","3","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"TX","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NM","Acute Care Hospitals","Proprietary","4","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"MS","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"NE","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Above the national average","Above the national average","Not Available","Not Available","Not Available"
"WV","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"ND","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available","Not Available","Same as the national average"
"CA","Acute Care Hospitals","Proprietary","2","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Above the national average","Not Available"
"MA","Acute Care Hospitals","Voluntary non-profit - Other","5","Same as the national average","Not Available","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"NM","Critical Access Hospitals","Government - State","3","Same as the national average","Not Available","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available"
"LA","Acute Care Hospitals","Government - Hospital District or Authority","2","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Not Available"
"NY","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Same as the national average","Not Available","Not Available","Not Available"
"TX","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CA","Critical Access Hospitals","Government - Hospital District or Authority","3","Same as the national average","Not Available","Same as the national average","Below the national average","Not Available","Not Available","Not Available"
"MO","Acute Care Hospitals","Voluntary non-profit - Other","2","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"MA","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"FL","Acute Care Hospitals","Government - Hospital District or Authority","4","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Not Available"
"OH","Acute Care Hospitals","Government - Federal","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Not Available","Not Available"
"OH","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Not Available"
"PA","Critical Access Hospitals","Voluntary non-profit - Other","3","Same as the national average","Not Available","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"MN","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"GA","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"ME","Critical Access Hospitals","Voluntary non-profit - Private","3","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Same as the national average","Same as the national average"
"MN","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"SD","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WV","Critical Access Hospitals","Government - Local","4","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"WI","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Not Available","Same as the national average","Above the national average","Not Available"
"WI","Acute Care Hospitals","Voluntary non-profit - Private","5","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"MN","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"WY","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Below the national average","Not Available","Not Available","Same as the national average","Not Available"
"CO","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"VT","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Not Available"
"OH","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"WA","Childrens","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"TX","Acute Care Hospitals","Proprietary","3","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","5","Not Available","Not Available","Same as the national average","Above the national average","Same as the national average","Not Available","Not Available"
"OK","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average"
"TX","Acute Care Hospitals","Government - Hospital District or Authority","5","Same as the national average","Not Available","Above the national average","Not Available","Same as the national average","Above the national average","Same as the national average"
"CA","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NY","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Not Available"
"IA","Critical Access Hospitals","Government - Local","3","Same as the national average","Not Available","Same as the national average","Above the national average","Not Available","Not Available","Same as the national average"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","3","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Above the national average","Not Available"
"TX","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"IA","Critical Access Hospitals","Government - Local","4","Same as the national average","Not Available","Same as the national average","Not Available","Not Available","Not Available","Same as the national average"
"WI","Acute Care Hospitals","Voluntary non-profit - Other","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"OR","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Not Available"
"TX","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Same as the national average","Not Available","Not Available"
"MD","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"CA","Acute Care Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"PA","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Above the national average","Not Available","Not Available","Not Available"
"KY","Acute Care Hospitals","Voluntary non-profit - Other","4","Same as the national average","Not Available","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"VA","Critical Access Hospitals","Voluntary non-profit - Private","4","Same as the national average","Not Available","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"PA","Acute Care Hospitals","Voluntary non-profit - Private","4","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"PR","Acute Care Hospitals","Voluntary non-profit - Private","2","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Below the national average","Not Available"
"AR","Critical Access Hospitals","Government - Local","Not Available","Same as the national average","Not Available","Below the national average","Not Available","Not Available","Not Available","Not Available"
"PA","Acute Care Hospitals","Proprietary","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CA","Acute Care Hospitals","Government - Hospital District or Authority","2","Same as the national average","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Not Available"
"MT","Critical Access Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"VA","Childrens","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Voluntary non-profit - Private","5","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"NV","Critical Access Hospitals","Government - Hospital District or Authority","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"OK","Critical Access Hospitals","Government - Local","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
"CA","Acute Care Hospitals","Proprietary","4","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Not Available"
"OH","Acute Care Hospitals","Voluntary non-profit - Private","Not Available","Not Available","Not Available","Not Available","Not Available","Same as the national average","Same as the national average","Not Available"
